재료,d2024,d2022,상관
exp72_league_role_mono,-0.658367476302768,-1.2486003304834625,0.9617513984236771
exp72_domain_mono,-0.6628832268068541,-1.7611169342235389,0.964061440167052
exp28_reg_domain,-0.7193926832654851,-1.8960641776366582,0.9643387004244518
exp81_hf_hgb_domain,-0.7348602816537042,-2.5193119167765676,0.9690869529543489
exp72_tm_mean,-0.7839836072026651,-1.0037745616281457,0.959651529819471
exp30_tuned_domain,-0.8247067014244269,-1.755207629491884,0.9722481679815728
exp28_reg_tm_mean,-0.8366061936132541,-1.3924758158812,0.9623379809518405
exp08_tm_expert_core,-0.860459826163007,-1.1321092630162122,0.9614750748661456
exp96_heuristic,-0.8953962644775437,-2.182005566531142,0.97280319321624
exp15_catboost_chronological,-0.8991401048041858,-1.4326928511110282,0.9377846979473746
exp31_seedavg_domain,-0.9007511488579034,-1.6850786584865496,0.9740888140363726
exp30_tuned_league_role,-0.9102752129619418,-1.166792821372109,0.9717361709698639
exp81_hf_tm_mean,-0.9166552648542936,-1.1925840176951752,0.9608721242818165
exp62_cur,-0.9946996122695007,-1.8879968468193953,0.9665868224923599
exp72_domain,-0.9946996122695007,-1.8879968468193953,0.9665868224923599
exp42_abs_era,-0.9946996122695007,-1.8879968468193953,0.9665868224923599
exp85_lgbm_hf,-0.9977648475739676,-1.912830706399249,0.9729019506651193
exp07_hgb_trackman,-1.0135247781178913,-1.0037745616281457,0.9601348294027829
exp09_tm_league_role,-1.0253803053084098,-1.5394643661931218,0.9624065566701656
exp11_decay_1.20,-1.0425397143659643,-1.4758570374001634,0.9626645453243872
exp22_seoyeon_interactions,-1.0448907349330794,-1.7863058192069126,0.9657985583171191
exp28_reg_league_role,-1.0589029954294338,-0.7934752945804036,0.9639680386590338
exp11_decay_1.15,-1.0763030036969878,-2.5164830232987656,0.9623023646644578
exp90_base_avg3,-1.0882170676157488,-2.1350731908009735,0.9712147214637611
exp103_base,-1.0882170676157488,-2.1350731908009735,0.9712147214637611
exp103b_base,-1.0882170676157488,-2.1350731908009735,0.9712147214637611
exp103b_sd,-1.0882170676157488,-2.1350731908009735,0.9712147214637611
exp105_base,-1.0882170676157488,-2.1350731908009735,0.9712147214637611
exp106_full,-1.0882170676157488,-2.1350731908009735,0.9712147214637611
exp80_hf_avg3,-1.0882170676157488,-2.1350731908009735,0.9712147214637611
exp10_domain_scatter,-1.1025939816361463,-1.6843054163828697,0.9654675158625716
exp08_tm_role,-1.1377111525573413,-1.6443994168363618,0.9634775425535596
exp80_base_avg3,-1.1473413459112125,-1.932531129553161,0.9678696969864893
exp10_domain_temporal_te,-1.1577215223268489,-1.276002757813477,0.9591451986888618
exp90_lure_avg3,-1.187233327859527,-2.1122395753109258,0.9715312057551823
exp103_sd,-1.1893880281776958,-3.036743761905547,0.9556018709605543
exp09_tm_league_combined,-1.230386372277903,-0.7231807800545109,0.9516999726380211
exp11_decay_1.30,-1.2377271504743215,-2.421959930928863,0.9603139139591348
exp23_seoyeon_lgbm,-1.2502063681557596,-1.2182014950179454,0.9724273898903606
exp08_tm_pitch_stds,-1.254888160237555,-1.222787240692802,0.9632119722313316
